pwnid,yarnid
SID-01016008-N,s34224
SID-01016008-N,s296
SID-01016008-N,s28485
SID-01016008-N,s28484
SID-01016008-N,s26694
SID-01016008-N,s23548
SID-01016008-N,s20026
SID-01016008-N,s19281
SID-01016008-N,s1641
SID-01016008-N,s16241
SID-01016008-N,s12710
SID-01016008-N,s11525
SID-01077970-N,s13209
SID-01077970-N,s22631
SID-01077970-N,s22630
SID-01077970-N,s14678
SID-01077970-N,s13235
SID-01077970-N,s11154
SID-01077970-N,s13236
SID-01077970-N,s13237
SID-01077970-N,s9384
SID-01077970-N,s8285
SID-01077970-N,s6990
SID-01077970-N,s6421
SID-01077970-N,s4502
SID-01077970-N,s4501
SID-01077970-N,s4053
SID-01077970-N,s32146
SID-01077970-N,s31803
SID-01077970-N,s31802
SID-01077970-N,s26480
SID-01077970-N,s26478
SID-01077970-N,s26394
SID-01077970-N,s23695
SID-01077970-N,s2044
SID-01077970-N,s16815
SID-01077970-N,s16231
SID-01077970-N,s15001
SID-01077970-N,s14965
SID-01077970-N,s14258
SID-01077970-N,s13491
SID-01077970-N,s13234
SID-01077970-N,s13213
SID-01077970-N,s13110
SID-01077970-N,s12770
SID-01077970-N,s1266
SID-01077970-N,s1265
SID-01077970-N,s12429
SID-01077970-N,s11157
SID-01077970-N,s10766
SID-01077970-N,s10012
SID-01077970-N,s13341
SID-01077970-N,s8240
SID-01077970-N,s7657
SID-01077970-N,s6234
SID-01077970-N,s26477
SID-01077970-N,s4730
SID-01077970-N,s5194
SID-01077970-N,s5511
SID-01077970-N,s5512
SID-01077970-N,s6542
SID-01077970-N,s7212
SID-01077970-N,s7224
SID-01077970-N,s7651
SID-01077970-N,s8503
SID-03590506-N,s10295
SID-03590506-N,s12838
SID-03590506-N,s26165
SID-03590506-N,s26160
SID-03590506-N,s2792
SID-03590506-N,s6444
SID-03590506-N,s19813
SID-03991266-N,s1153
SID-03991266-N,s16548
SID-03991266-N,s19523
SID-03991266-N,s6441
SID-03991266-N,s6810
SID-05992686-N,s11344
SID-05992686-N,s11774
SID-05992686-N,s11822
SID-05992686-N,s12031
SID-05992686-N,s6852
SID-05992686-N,s3809
SID-05992686-N,s11891
SID-05992686-N,s12063
SID-05992686-N,s12156
SID-05992686-N,s12408
SID-05992686-N,s329
SID-05992686-N,s25083
SID-05992686-N,s21120
SID-05992686-N,s21121
SID-05992686-N,s9976
SID-05992686-N,s9690
SID-05992686-N,s9401
SID-05992686-N,s9368
SID-05992686-N,s909
SID-05992686-N,s861
SID-05992686-N,s832
SID-05992686-N,s7451
SID-05992686-N,s6808
SID-05992686-N,s6216
SID-05992686-N,s59
SID-05992686-N,s47222
SID-05992686-N,s4712
SID-05992686-N,s4692
SID-05992686-N,s3640
SID-05992686-N,s33462
SID-05992686-N,s327
SID-05992686-N,s318
SID-05992686-N,s31731
SID-05992686-N,s28660
SID-05992686-N,s27391
SID-05992686-N,s27389
SID-05992686-N,s268
SID-05992686-N,s26618
SID-05992686-N,s26616
SID-05992686-N,s26388
SID-05992686-N,s25612
SID-05992686-N,s25082
SID-05992686-N,s25081
SID-05992686-N,s23482
SID-05992686-N,s23481
SID-05992686-N,s2221
SID-05992686-N,s2117
SID-05992686-N,s21123
SID-05992686-N,s195
SID-05992686-N,s192
SID-05992686-N,s1812
SID-05992686-N,s181
SID-05992686-N,s1708
SID-05992686-N,s16931
SID-05992686-N,s1685
SID-05992686-N,s1547
SID-05992686-N,s1539
SID-05992686-N,s1526
SID-05992686-N,s1525
SID-05992686-N,s15017
SID-05992686-N,s14047
SID-05992686-N,s139
SID-05992686-N,s13238
SID-05992686-N,s13103
SID-05992686-N,s12651
SID-05992686-N,s12650
SID-05992686-N,s12159
SID-05992686-N,s12073
SID-05992686-N,s11940
SID-05992686-N,s11936
SID-05992686-N,s11857
SID-05992686-N,s11823
SID-05992686-N,s11579
SID-05992686-N,s10699
SID-05992686-N,s10257
SID-05992686-N,s10035
SID-05992686-N,s21122
SID-05992686-N,s15299
SID-05992686-N,s22671
SID-05992686-N,s26619
SID-05992686-N,s71
SID-05992686-N,s574
SID-05992686-N,s26617
SID-05992686-N,s3811
SID-05992686-N,s9275
SID-05992686-N,s12068
SID-05992686-N,s4591
SID-05992686-N,s4640
SID-05992686-N,s6880
SID-05992686-N,s7407
SID-05992686-N,s22747
SID-06094057-N,s3877
SID-06808603-N,s11376
SID-06808603-N,s11383
SID-06808603-N,s9795
SID-06808603-N,s9713
SID-06808603-N,s8757
SID-06808603-N,s6853
SID-06808603-N,s4058
SID-06808603-N,s33462
SID-06808603-N,s16157
SID-06808603-N,s11854
SID-06808603-N,s1139
SID-06808603-N,s12000
SID-06808603-N,s29318
SID-06808603-N,s29316
SID-06808603-N,s12162
SID-06808603-N,s12299
SID-06808603-N,s9067
SID-06808603-N,s7434
SID-06808603-N,s7160
SID-06808603-N,s6856
SID-06808603-N,s6710
SID-06808603-N,s6709
SID-06808603-N,s26947
SID-06808603-N,s26946
SID-06808603-N,s26945
SID-06808603-N,s26942
SID-06808603-N,s20079
SID-06808603-N,s12527
SID-06808603-N,s12300
SID-06808603-N,s12175
SID-06808603-N,s11795
SID-06808603-N,s11732
SID-06808603-N,s11445
SID-06808603-N,s12635
SID-06808603-N,s15846
SID-06808603-N,s22673
SID-06808603-N,s8379
SID-06808603-N,s8376
SID-06808603-N,s7388
SID-06808603-N,s31484
SID-06808603-N,s22679
SID-06808603-N,s1991
SID-06808603-N,s15254
SID-06808603-N,s1519
SID-06808603-N,s13241
SID-06808603-N,s12166
SID-06808603-N,s12104
SID-06808603-N,s1140
SID-06808603-N,s11384
SID-06808603-N,s11331
SID-06808603-N,s26218
SID-06808603-N,s29919
SID-06808603-N,s30669
SID-06808603-N,s31262
SID-06808603-N,s34737
SID-06808603-N,s664
SID-06808603-N,s34736
SID-06808603-N,s6857
SID-06808603-N,s7614
SID-06808603-N,s7667
SID-06808603-N,s8378
SID-07403416-N,s10881
SID-07403416-N,s8772
SID-07403416-N,s20887
SID-07403416-N,s16068
SID-07403416-N,s12441
SID-07403416-N,s13443
SID-07403416-N,s9340
SID-07403416-N,s8896
SID-07403416-N,s7999
SID-07403416-N,s3560
SID-07403416-N,s27355
SID-07403416-N,s27346
SID-07403416-N,s14148
SID-07403416-N,s12671
SID-07403416-N,s12424
SID-07403416-N,s11929
SID-07403416-N,s10530
SID-07403416-N,s13444
SID-07403416-N,s13447
SID-07403416-N,s14893
SID-07403416-N,s21923
SID-07403416-N,s21924
SID-07403416-N,s22790
SID-07403416-N,s24722
SID-07403416-N,s27718
SID-07403416-N,s33726
SID-07403416-N,s7911
SID-07403416-N,s4251
SID-07403416-N,s4568
SID-07403416-N,s5245
SID-07723196-N,s10138
SID-07723196-N,s20293
SID-07723196-N,s9925
SID-08588287-N,s11864
SID-08588287-N,s8364
SID-08588287-N,s8079
SID-08588287-N,s7880
SID-08588287-N,s733
SID-08588287-N,s732
SID-08588287-N,s731
SID-08588287-N,s6052
SID-08588287-N,s432
SID-08588287-N,s4038
SID-08588287-N,s31375
SID-08588287-N,s31373
SID-08588287-N,s31370
SID-08588287-N,s30211
SID-08588287-N,s29724
SID-08588287-N,s24712
SID-08588287-N,s23653
SID-08588287-N,s16892
SID-08588287-N,s13676
SID-08588287-N,s12051
SID-08588287-N,s11387
SID-08588287-N,s11368
SID-08588287-N,s11356
SID-08588287-N,s11268
SID-08588287-N,s10499
SID-08588287-N,s10421
SID-08588287-N,s1601
SID-08588287-N,s1666
SID-08588287-N,s26568
SID-08588287-N,s6053
SID-08588287-N,s8121
SID-13799976-N,s12366
SID-13799976-N,s12469
SID-13799976-N,s953
SID-13799976-N,s923
SID-13799976-N,s864
SID-13799976-N,s7862
SID-13799976-N,s7636
SID-13799976-N,s7079
SID-13799976-N,s582
SID-13799976-N,s4342
SID-13799976-N,s30110
SID-13799976-N,s30109
SID-13799976-N,s2592
SID-13799976-N,s2223
SID-13799976-N,s204
SID-13799976-N,s2020
SID-13799976-N,s1550
SID-13799976-N,s13249
SID-13799976-N,s13037
SID-13799976-N,s12246
SID-13799976-N,s12109
SID-13799976-N,s11894
SID-13799976-N,s11879
SID-13799976-N,s11693
SID-13799976-N,s11586
SID-13799976-N,s11505
SID-13799976-N,s11503
SID-13799976-N,s11320
SID-13799976-N,s10034
SID-13799976-N,s12985
SID-13799976-N,s13270
SID-13799976-N,s16126
SID-13799976-N,s1669
SID-13799976-N,s2033
SID-13799976-N,s30146
SID-13799976-N,s30145
SID-13799976-N,s245
SID-13799976-N,s16550
SID-13799976-N,s15832
SID-13799976-N,s13481
SID-13799976-N,s12708
SID-13799976-N,s12264
SID-13799976-N,s11867
SID-13799976-N,s11668
SID-13799976-N,s11595
SID-13799976-N,s11522
SID-13799976-N,s11282
SID-13799976-N,s23147
SID-13799976-N,s25611
SID-13799976-N,s194
SID-13799976-N,s153
SID-13799976-N,s25654
SID-13799976-N,s273
SID-13799976-N,s7991
SID-13799976-N,s7990
SID-13799976-N,s5551
SID-13799976-N,s447
SID-13799976-N,s25657
SID-13799976-N,s25656
SID-13799976-N,s25655
SID-13799976-N,s25395
SID-13799976-N,s16980
SID-13799976-N,s14604
SID-13799976-N,s13014
SID-13799976-N,s12690
SID-13799976-N,s12547
SID-13799976-N,s12365
SID-13799976-N,s11417
SID-13799976-N,s11265
SID-13799976-N,s2978
SID-13799976-N,s910
SID-13799976-N,s8414
SID-13799976-N,s9159
SID-13799976-N,s11125
SID-13799976-N,s11082
SID-13799976-N,s9921
SID-15282640-N,s32301
SID-15282640-N,s7823
SID-15282640-N,s3656
SID-15282640-N,s32787
SID-15282640-N,s8801
SID-15282640-N,s21200
SID-15282640-N,s11078
SID-15282640-N,s10657
SID-15282640-N,s32788
SID-15282640-N,s8803
