id,stage,datetime,tags,type,description,answers
25,substitutions,1464859474733,55_10,multiple,"Танк повернулся на месте и пополз к шоссе. Он пересёк наискось кювет, но весь на дорогу не выполз, а, медленно вращая башню, перегородил *путь*, как шлагбаумом, длинной своей пушкой.",прием|переправа|образ|шоссе|крюк|план|тактика
26,substitutions,1464859474733,55_10,multiple,"Танк повернулся на месте и пополз к шоссе. Он пересёк наискось кювет, но весь на дорогу не выполз, а, медленно вращая башню, перегородил *путь*, как шлагбаумом, длинной своей пушкой.",путешествие|рейс|дорожка|створка|ход|порядок|просека
27,substitutions,1464859474733,55_10,multiple,"Танк повернулся на месте и пополз к шоссе. Он пересёк наискось кювет, но весь на дорогу не выполз, а, медленно вращая башню, перегородил *путь*, как шлагбаумом, длинной своей пушкой.",система|аллея|схема|транзит|маршрут|манера|ухватка
28,substitutions,1464859474733,55_10,multiple,"Танк повернулся на месте и пополз к шоссе. Он пересёк наискось кювет, но весь на дорогу не выполз, а, медленно вращая башню, перегородил *путь*, как шлагбаумом, длинной своей пушкой.",метода|полотно|средство|следование|портал|тропинка|манипуляция
29,substitutions,1464859474733,55_10,multiple,"Танк повернулся на месте и пополз к шоссе. Он пересёк наискось кювет, но весь на дорогу не выполз, а, медленно вращая башню, перегородил *путь*, как шлагбаумом, длинной своей пушкой.",траектория|фортель|врата|шествие|расстояние|перевал|дистанция
30,substitutions,1464859474733,55_10,multiple,"Танк повернулся на месте и пополз к шоссе. Он пересёк наискось кювет, но весь на дорогу не выполз, а, медленно вращая башню, перегородил *путь*, как шлагбаумом, длинной своей пушкой.",проход|путина|стезя|выход|род|конец|тропа
31,substitutions,1464859474733,55_10,multiple,"Танк повернулся на месте и пополз к шоссе. Он пересёк наискось кювет, но весь на дорогу не выполз, а, медленно вращая башню, перегородил *путь*, как шлагбаумом, длинной своей пушкой.",метод|образец|проезд|дверь|сноровка|способ|курс|тротуар
32,substitutions,1464859474733,56_10,multiple,"По *дороге* зимней, скучной // Тройка борзая бежит, // Колокольчик однозвучный // Утомительно гремит.",улица|трасса|поездка|полотно|средство|мостовая|следование
33,substitutions,1464859474733,56_10,multiple,"По *дороге* зимней, скучной // Тройка борзая бежит, // Колокольчик однозвучный // Утомительно гремит.",тракт|оборот|тропинка|манипуляция|прием|переправа|образ
34,substitutions,1464859474733,56_10,multiple,"По *дороге* зимней, скучной // Тройка борзая бежит, // Колокольчик однозвучный // Утомительно гремит.",траектория|шоссе|фортель|крюк|путь|шествие|расстояние
35,substitutions,1464859474733,56_10,multiple,"По *дороге* зимней, скучной // Тройка борзая бежит, // Колокольчик однозвучный // Утомительно гремит.",перевал|тактика|проход|путина|стезя|путешествие|рейс
36,substitutions,1464859474733,56_10,multiple,"По *дороге* зимней, скучной // Тройка борзая бежит, // Колокольчик однозвучный // Утомительно гремит.",направление|дорожка|род|конец|ход|автострада|порядок
37,substitutions,1464859474733,56_10,multiple,"По *дороге* зимней, скучной // Тройка борзая бежит, // Колокольчик однозвучный // Утомительно гремит.",тропа|сноровка|просека|система|аллея|способ|курс
38,substitutions,1464859474733,56_10,multiple,"По *дороге* зимней, скучной // Тройка борзая бежит, // Колокольчик однозвучный // Утомительно гремит.",автомагистраль|маршрут|манера|тротуар|ухватка|метода
39,substitutions,1464859474733,57_10,multiple,Стул стоял на самой *дороге*.,улица|трасса|поездка|полотно|средство|мостовая|следование
40,substitutions,1464859474733,57_10,multiple,Стул стоял на самой *дороге*.,тракт|оборот|тропинка|манипуляция|прием|переправа|образ
41,substitutions,1464859474733,57_10,multiple,Стул стоял на самой *дороге*.,траектория|шоссе|фортель|крюк|путь|шествие|расстояние
42,substitutions,1464859474733,57_10,multiple,Стул стоял на самой *дороге*.,перевал|тактика|проход|путина|стезя|путешествие|рейс
43,substitutions,1464859474733,57_10,multiple,Стул стоял на самой *дороге*.,направление|дорожка|род|конец|ход|автострада|порядок
44,substitutions,1464859474733,57_10,multiple,Стул стоял на самой *дороге*.,тропа|сноровка|просека|система|аллея|способ|курс
45,substitutions,1464859474733,57_10,multiple,Стул стоял на самой *дороге*.,автомагистраль|маршрут|манера|тротуар|ухватка|метода
46,substitutions,1464859474733,58_10,multiple,Покажите мне *дорогу* (в театр).,улица|трасса|поездка|полотно|средство|мостовая|следование
47,substitutions,1464859474733,58_10,multiple,Покажите мне *дорогу* (в театр).,тракт|оборот|тропинка|манипуляция|прием|переправа|образ
48,substitutions,1464859474733,58_10,multiple,Покажите мне *дорогу* (в театр).,траектория|шоссе|фортель|крюк|путь|шествие|расстояние
49,substitutions,1464859474733,58_10,multiple,Покажите мне *дорогу* (в театр).,перевал|тактика|проход|путина|стезя|путешествие|рейс
50,substitutions,1464859474733,58_10,multiple,Покажите мне *дорогу* (в театр).,направление|дорожка|род|конец|ход|автострада|порядок
51,substitutions,1464859474733,58_10,multiple,Покажите мне *дорогу* (в театр).,тропа|сноровка|просека|система|аллея|способ|курс
52,substitutions,1464859474733,58_10,multiple,Покажите мне *дорогу* (в театр).,автомагистраль|маршрут|манера|тротуар|ухватка|метода
53,substitutions,1464859474733,59_10,multiple,"Таким образом, сооружение плотин и шлюзование рек позволяют создать хорошие водные *пути* сообщения и получать электроэнергию.",улица|дорога|поездка|мостовая|ворота|тракт|оборот
54,substitutions,1464859474733,59_10,multiple,"Таким образом, сооружение плотин и шлюзование рек позволяют создать хорошие водные *пути* сообщения и получать электроэнергию.",прием|переправа|образ|шоссе|крюк|план|тактика
55,substitutions,1464859474733,59_10,multiple,"Таким образом, сооружение плотин и шлюзование рек позволяют создать хорошие водные *пути* сообщения и получать электроэнергию.",путешествие|рейс|дорожка|створка|ход|порядок|просека
56,substitutions,1464859474733,59_10,multiple,"Таким образом, сооружение плотин и шлюзование рек позволяют создать хорошие водные *пути* сообщения и получать электроэнергию.",система|аллея|схема|транзит|маршрут|манера|ухватка
57,substitutions,1464859474733,59_10,multiple,"Таким образом, сооружение плотин и шлюзование рек позволяют создать хорошие водные *пути* сообщения и получать электроэнергию.",метода|полотно|средство|следование|портал|тропинка|манипуляция
58,substitutions,1464859474733,59_10,multiple,"Таким образом, сооружение плотин и шлюзование рек позволяют создать хорошие водные *пути* сообщения и получать электроэнергию.",траектория|фортель|врата|шествие|расстояние|перевал|дистанция
59,substitutions,1464859474733,59_10,multiple,"Таким образом, сооружение плотин и шлюзование рек позволяют создать хорошие водные *пути* сообщения и получать электроэнергию.",проход|путина|стезя|выход|род|конец|тропа
60,substitutions,1464859474733,59_10,multiple,"Таким образом, сооружение плотин и шлюзование рек позволяют создать хорошие водные *пути* сообщения и получать электроэнергию.",метод|образец|проезд|дверь|сноровка|способ|курс|тротуар
61,substitutions,1464859474733,60_10,multiple,Из-за малых размеров наночастицы без труда проникают в организм через кожу и дыхательные *пути*.,улица|дорога|поездка|мостовая|ворота|тракт|оборот
62,substitutions,1464859474733,60_10,multiple,Из-за малых размеров наночастицы без труда проникают в организм через кожу и дыхательные *пути*.,прием|переправа|образ|шоссе|крюк|план|тактика
63,substitutions,1464859474733,60_10,multiple,Из-за малых размеров наночастицы без труда проникают в организм через кожу и дыхательные *пути*.,путешествие|рейс|дорожка|створка|ход|порядок|просека
64,substitutions,1464859474733,60_10,multiple,Из-за малых размеров наночастицы без труда проникают в организм через кожу и дыхательные *пути*.,система|аллея|схема|транзит|маршрут|манера|ухватка
65,substitutions,1464859474733,60_10,multiple,Из-за малых размеров наночастицы без труда проникают в организм через кожу и дыхательные *пути*.,метода|полотно|средство|следование|портал|тропинка|манипуляция
66,substitutions,1464859474733,60_10,multiple,Из-за малых размеров наночастицы без труда проникают в организм через кожу и дыхательные *пути*.,траектория|фортель|врата|шествие|расстояние|перевал|дистанция
67,substitutions,1464859474733,60_10,multiple,Из-за малых размеров наночастицы без труда проникают в организм через кожу и дыхательные *пути*.,проход|путина|стезя|выход|род|конец|тропа
68,substitutions,1464859474733,60_10,multiple,Из-за малых размеров наночастицы без труда проникают в организм через кожу и дыхательные *пути*.,метод|образец|проезд|дверь|сноровка|способ|курс|тротуар
69,substitutions,1464859474733,61_10,multiple,"Что греха таить, *пути* в нём не было, мужик был плотный, неработящий, хмельным делом почал было напоследях-то заниматься",улица|дорога|поездка|мостовая|ворота|тракт|оборот
70,substitutions,1464859474733,61_10,multiple,"Что греха таить, *пути* в нём не было, мужик был плотный, неработящий, хмельным делом почал было напоследях-то заниматься",прием|переправа|образ|шоссе|крюк|план|тактика
71,substitutions,1464859474733,61_10,multiple,"Что греха таить, *пути* в нём не было, мужик был плотный, неработящий, хмельным делом почал было напоследях-то заниматься",путешествие|рейс|дорожка|створка|ход|порядок|просека
72,substitutions,1464859474733,61_10,multiple,"Что греха таить, *пути* в нём не было, мужик был плотный, неработящий, хмельным делом почал было напоследях-то заниматься",система|аллея|схема|транзит|маршрут|манера|ухватка
73,substitutions,1464859474733,61_10,multiple,"Что греха таить, *пути* в нём не было, мужик был плотный, неработящий, хмельным делом почал было напоследях-то заниматься",метода|полотно|средство|следование|портал|тропинка|манипуляция
74,substitutions,1464859474733,61_10,multiple,"Что греха таить, *пути* в нём не было, мужик был плотный, неработящий, хмельным делом почал было напоследях-то заниматься",траектория|фортель|врата|шествие|расстояние|перевал|дистанция
75,substitutions,1464859474733,61_10,multiple,"Что греха таить, *пути* в нём не было, мужик был плотный, неработящий, хмельным делом почал было напоследях-то заниматься",проход|путина|стезя|выход|род|конец|тропа
76,substitutions,1464859474733,61_10,multiple,"Что греха таить, *пути* в нём не было, мужик был плотный, неработящий, хмельным делом почал было напоследях-то заниматься",метод|образец|проезд|дверь|сноровка|способ|курс|тротуар
77,substitutions,1464859474733,62_10,multiple,Из Бразилии наш *путь* лежал дальше на запад.,улица|дорога|поездка|мостовая|ворота|тракт|оборот
78,substitutions,1464859474733,62_10,multiple,Из Бразилии наш *путь* лежал дальше на запад.,прием|переправа|образ|шоссе|крюк|план|тактика
79,substitutions,1464859474733,62_10,multiple,Из Бразилии наш *путь* лежал дальше на запад.,путешествие|рейс|дорожка|створка|ход|порядок|просека
80,substitutions,1464859474733,62_10,multiple,Из Бразилии наш *путь* лежал дальше на запад.,система|аллея|схема|транзит|маршрут|манера|ухватка
81,substitutions,1464859474733,62_10,multiple,Из Бразилии наш *путь* лежал дальше на запад.,метода|полотно|средство|следование|портал|тропинка|манипуляция
82,substitutions,1464859474733,62_10,multiple,Из Бразилии наш *путь* лежал дальше на запад.,траектория|фортель|врата|шествие|расстояние|перевал|дистанция
83,substitutions,1464859474733,62_10,multiple,Из Бразилии наш *путь* лежал дальше на запад.,проход|путина|стезя|выход|род|конец|тропа
84,substitutions,1464859474733,62_10,multiple,Из Бразилии наш *путь* лежал дальше на запад.,метод|образец|проезд|дверь|сноровка|способ|курс|тротуар
85,substitutions,1464859474733,63_10,multiple,Поезд отправляется с третьего *пути*.,улица|дорога|поездка|мостовая|ворота|тракт|оборот
86,substitutions,1464859474733,63_10,multiple,Поезд отправляется с третьего *пути*.,прием|переправа|образ|шоссе|крюк|план|тактика
87,substitutions,1464859474733,63_10,multiple,Поезд отправляется с третьего *пути*.,путешествие|рейс|дорожка|створка|ход|порядок|просека
88,substitutions,1464859474733,63_10,multiple,Поезд отправляется с третьего *пути*.,система|аллея|схема|транзит|маршрут|манера|ухватка
89,substitutions,1464859474733,63_10,multiple,Поезд отправляется с третьего *пути*.,метода|полотно|средство|следование|портал|тропинка|манипуляция
90,substitutions,1464859474733,63_10,multiple,Поезд отправляется с третьего *пути*.,траектория|фортель|врата|шествие|расстояние|перевал|дистанция
91,substitutions,1464859474733,63_10,multiple,Поезд отправляется с третьего *пути*.,проход|путина|стезя|выход|род|конец|тропа
92,substitutions,1464859474733,63_10,multiple,Поезд отправляется с третьего *пути*.,метод|образец|проезд|дверь|сноровка|способ|курс|тротуар
93,substitutions,1464859474733,64_12,multiple,"К последним приделаны поплавки из бересты, сосновой коры или чаще из *пробки*, там, где она растёт.",втулка|кляп
94,substitutions,1464859474733,65_12,multiple,"Бутылки молочные прикрывают сверху вырезанными жестяными кружками, а узкогорлые неплотно прикрывают *пробками*.",втулка|кляп
95,substitutions,1464859474733,66_12,multiple,"Кипятильник был у него, но из-за большой нагрузки *пробки* вышибало: всё общежитие обогревалось плитками и рефлекторами.",втулка|кляп
96,substitutions,1464859474733,67_14,multiple,"Во-первых, княжна сообщила мне все свои планы для будущего и настоящее положение *вещей*.",хрень|поеботина|изделие|хуетень|шняга|утварь|херня
97,substitutions,1464859474733,67_14,multiple,"Во-первых, княжна сообщила мне все свои планы для будущего и настоящее положение *вещей*.",фигатень|хреновина|поебень|феномен|реалия|фиговина|срань
98,substitutions,1464859474733,67_14,multiple,"Во-первых, княжна сообщила мне все свои планы для будущего и настоящее положение *вещей*.",штучка|нечто|предмет|херь|штуковина|имущество|объект
99,substitutions,1464859474733,67_14,multiple,"Во-первых, княжна сообщила мне все свои планы для будущего и настоящее положение *вещей*.",фигня|хуйня|тело|пожитки|штука|безделушка|хуёвина
100,substitutions,1464859474733,67_14,multiple,"Во-первых, княжна сообщила мне все свои планы для будущего и настоящее положение *вещей*.",что-то|факт|материал|явление|материя|хренотень|продукт|вещица
101,substitutions,1464859474733,68_14,multiple,"По всем *предметам*, кроме математики, у него были хорошие оценки.",хрень|изделие|утварь|фигатень|хреновина|феномен|реалия
102,substitutions,1464859474733,68_14,multiple,"По всем *предметам*, кроме математики, у него были хорошие оценки.",фиговина|штучка|нечто|вещь|штуковина|имущество|объект
103,substitutions,1464859474733,68_14,multiple,"По всем *предметам*, кроме математики, у него были хорошие оценки.",тело|пожитки|штука|безделушка|факт|материал|явление
104,substitutions,1464859474733,68_14,multiple,"По всем *предметам*, кроме математики, у него были хорошие оценки.",материя|продукт|вещица|что-то
105,substitutions,1464859474733,69_14,multiple,"Он играл небольшие, но сильные *вещи* классиков: Мендельсона, Бетховена, Шопена, Годара, Грига, Рубинштейна, Моцарта.",хрень|поеботина|изделие|хуетень|шняга|утварь|херня
106,substitutions,1464859474733,69_14,multiple,"Он играл небольшие, но сильные *вещи* классиков: Мендельсона, Бетховена, Шопена, Годара, Грига, Рубинштейна, Моцарта.",фигатень|хреновина|поебень|феномен|реалия|фиговина|срань
107,substitutions,1464859474733,69_14,multiple,"Он играл небольшие, но сильные *вещи* классиков: Мендельсона, Бетховена, Шопена, Годара, Грига, Рубинштейна, Моцарта.",штучка|нечто|предмет|херь|штуковина|имущество|объект
108,substitutions,1464859474733,69_14,multiple,"Он играл небольшие, но сильные *вещи* классиков: Мендельсона, Бетховена, Шопена, Годара, Грига, Рубинштейна, Моцарта.",фигня|хуйня|тело|пожитки|штука|безделушка|хуёвина
109,substitutions,1464859474733,69_14,multiple,"Он играл небольшие, но сильные *вещи* классиков: Мендельсона, Бетховена, Шопена, Годара, Грига, Рубинштейна, Моцарта.",что-то|факт|материал|явление|материя|хренотень|продукт|вещица
110,substitutions,1464859474733,70_14,multiple,*Предметом* моих рассуждений будет исторический прогресс.,хрень|изделие|утварь|фигатень|хреновина|феномен|реалия
111,substitutions,1464859474733,70_14,multiple,*Предметом* моих рассуждений будет исторический прогресс.,фиговина|штучка|нечто|вещь|штуковина|имущество|объект
112,substitutions,1464859474733,70_14,multiple,*Предметом* моих рассуждений будет исторический прогресс.,тело|пожитки|штука|безделушка|факт|материал|явление
113,substitutions,1464859474733,70_14,multiple,*Предметом* моих рассуждений будет исторический прогресс.,материя|продукт|вещица|что-то
114,substitutions,1464859474733,71_14,multiple,*Предметы* были раскиданы в беспорядке.,хрень|изделие|утварь|фигатень|хреновина|феномен|реалия
115,substitutions,1464859474733,71_14,multiple,*Предметы* были раскиданы в беспорядке.,фиговина|штучка|нечто|вещь|штуковина|имущество|объект
116,substitutions,1464859474733,71_14,multiple,*Предметы* были раскиданы в беспорядке.,тело|пожитки|штука|безделушка|факт|материал|явление
117,substitutions,1464859474733,71_14,multiple,*Предметы* были раскиданы в беспорядке.,материя|продукт|вещица|что-то
118,substitutions,1464859474733,72_14,multiple,"Я не *вещь* неодушевлённая, которую можно нанимать и отдавать в наем, не спрашивая даже её согласия!",хрень|поеботина|изделие|хуетень|шняга|утварь|херня
119,substitutions,1464859474733,72_14,multiple,"Я не *вещь* неодушевлённая, которую можно нанимать и отдавать в наем, не спрашивая даже её согласия!",фигатень|хреновина|поебень|феномен|реалия|фиговина|срань
120,substitutions,1464859474733,72_14,multiple,"Я не *вещь* неодушевлённая, которую можно нанимать и отдавать в наем, не спрашивая даже её согласия!",штучка|нечто|предмет|херь|штуковина|имущество|объект
121,substitutions,1464859474733,72_14,multiple,"Я не *вещь* неодушевлённая, которую можно нанимать и отдавать в наем, не спрашивая даже её согласия!",фигня|хуйня|тело|пожитки|штука|безделушка|хуёвина
122,substitutions,1464859474733,72_14,multiple,"Я не *вещь* неодушевлённая, которую можно нанимать и отдавать в наем, не спрашивая даже её согласия!",что-то|факт|материал|явление|материя|хренотень|продукт|вещица
123,substitutions,1464859474733,73_14,multiple,Лаптев отдал распоряжение выгружать провизию и тёплые *вещи* на лёд.,хрень|поеботина|изделие|хуетень|шняга|утварь|херня
124,substitutions,1464859474733,73_14,multiple,Лаптев отдал распоряжение выгружать провизию и тёплые *вещи* на лёд.,фигатень|хреновина|поебень|феномен|реалия|фиговина|срань
125,substitutions,1464859474733,73_14,multiple,Лаптев отдал распоряжение выгружать провизию и тёплые *вещи* на лёд.,штучка|нечто|предмет|херь|штуковина|имущество|объект
126,substitutions,1464859474733,73_14,multiple,Лаптев отдал распоряжение выгружать провизию и тёплые *вещи* на лёд.,фигня|хуйня|тело|пожитки|штука|безделушка|хуёвина
127,substitutions,1464859474733,73_14,multiple,Лаптев отдал распоряжение выгружать провизию и тёплые *вещи* на лёд.,что-то|факт|материал|явление|материя|хренотень|продукт|вещица
128,substitutions,1464859474733,74_14,multiple,"- Кролики - это *вещь*. - кротко согласился примолкший Потапов.",хрень|поеботина|изделие|хуетень|шняга|утварь|херня
129,substitutions,1464859474733,74_14,multiple,"- Кролики - это *вещь*. - кротко согласился примолкший Потапов.",фигатень|хреновина|поебень|феномен|реалия|фиговина|срань
130,substitutions,1464859474733,74_14,multiple,"- Кролики - это *вещь*. - кротко согласился примолкший Потапов.",штучка|нечто|предмет|херь|штуковина|имущество|объект
131,substitutions,1464859474733,74_14,multiple,"- Кролики - это *вещь*. - кротко согласился примолкший Потапов.",фигня|хуйня|тело|пожитки|штука|безделушка|хуёвина
132,substitutions,1464859474733,74_14,multiple,"- Кролики - это *вещь*. - кротко согласился примолкший Потапов.",что-то|факт|материал|явление|материя|хренотень|продукт|вещица
133,substitutions,1464859474733,75_15,multiple,"Утка — вид птицы. Также как воробей и колибри. Любая птица представляет какой-то подвид птиц. Но обратная сторона медали в том, что нет птицы, которая была бы птицей вообще. С точки зрения программирования это означает, что все *объекты* Bird являются экземплярами каких-то подклассов Bird, но не имеется ни одного экземпляра класса Bird.",хрень|штуковина|имущество|утварь|тело|пожитки|фигатень
134,substitutions,1464859474733,75_15,multiple,"Утка — вид птицы. Также как воробей и колибри. Любая птица представляет какой-то подвид птиц. Но обратная сторона медали в том, что нет птицы, которая была бы птицей вообще. С точки зрения программирования это означает, что все *объекты* Bird являются экземплярами каких-то подклассов Bird, но не имеется ни одного экземпляра класса Bird.",хреновина|штука|фиговина|продукт|вещь
135,substitutions,1464859474733,76_15,multiple,"Преимущество объектно-ориентированного программирования состоит в том, что для *объекта* можно определить наследников, корректирующих или дополняющих его поведение.",хрень|штуковина|имущество|утварь|тело|пожитки|фигатень
136,substitutions,1464859474733,76_15,multiple,"Преимущество объектно-ориентированного программирования состоит в том, что для *объекта* можно определить наследников, корректирующих или дополняющих его поведение.",хреновина|штука|фиговина|продукт|вещь
137,substitutions,1464859474733,77_16,multiple,*Метод* вычисления объёма.,путь|закономерность|средство|подход|система|манера|прием
138,substitutions,1464859474733,77_16,multiple,*Метод* вычисления объёма.,образ|образец|метода
139,substitutions,1464859474733,78_22,multiple,Деревня Маниловка немногих могла заманить своим *местоположением*.,место|расположение|сосредоточение|нахождение|локализация|местонахождение|месторасположение
140,substitutions,1464859474733,78_22,multiple,Деревня Маниловка немногих могла заманить своим *местоположением*.,пребывание|точка|адрес|положение|локация|пункт|координаты|позиция|местопребывание
141,substitutions,1464859474733,79_23,multiple,*Расположение* города было очень удобным.,место|состояние|обстановка|поза|сосредоточение|местонахождение|месторасположение
142,substitutions,1464859474733,79_23,multiple,*Расположение* города было очень удобным.,местоположение|адрес|положение|локация|координаты|расстановка|распределение
143,substitutions,1464859474733,79_23,multiple,*Расположение* города было очень удобным.,постановка|нахождение|разнесение|пространство|локализация|обстоятельства|помещение
144,substitutions,1464859474733,79_23,multiple,*Расположение* города было очень удобным.,позиционирование|размещение|жизнь|пункт|ситуация|позиция|местопребывание
145,substitutions,1464859474733,79_23,multiple,*Расположение* города было очень удобным.,пребывание|отношение|точка|условия
146,substitutions,1464859474733,80_23,multiple,Он сразу почувствовал *расположение* к новым ученикам.,место|состояние|обстановка|поза|сосредоточение|местонахождение|месторасположение
147,substitutions,1464859474733,80_23,multiple,Он сразу почувствовал *расположение* к новым ученикам.,местоположение|адрес|положение|локация|координаты|расстановка|распределение
148,substitutions,1464859474733,80_23,multiple,Он сразу почувствовал *расположение* к новым ученикам.,постановка|нахождение|разнесение|пространство|локализация|обстоятельства|помещение
149,substitutions,1464859474733,80_23,multiple,Он сразу почувствовал *расположение* к новым ученикам.,позиционирование|размещение|жизнь|пункт|ситуация|позиция|местопребывание
150,substitutions,1464859474733,80_23,multiple,Он сразу почувствовал *расположение* к новым ученикам.,пребывание|отношение|точка|условия
151,substitutions,1464859474733,81_23,multiple,Разведчики проникли в *расположение* передовых частей противника.,место|состояние|обстановка|поза|сосредоточение|местонахождение|месторасположение
152,substitutions,1464859474733,81_23,multiple,Разведчики проникли в *расположение* передовых частей противника.,местоположение|адрес|положение|локация|координаты|расстановка|распределение
153,substitutions,1464859474733,81_23,multiple,Разведчики проникли в *расположение* передовых частей противника.,постановка|нахождение|разнесение|пространство|локализация|обстоятельства|помещение
154,substitutions,1464859474733,81_23,multiple,Разведчики проникли в *расположение* передовых частей противника.,позиционирование|размещение|жизнь|пункт|ситуация|позиция|местопребывание
155,substitutions,1464859474733,81_23,multiple,Разведчики проникли в *расположение* передовых частей противника.,пребывание|отношение|точка|условия
156,substitutions,1464859474733,82_26,multiple,*Положение* во гроб.,место|статус|служба|позиция|пост
157,substitutions,1464859474733,83_26,multiple,Нынешнее *положение* весьма благоприятно.,место|статус|служба|позиция|пост
158,substitutions,1464859474733,84_26,multiple,*Положение* о статусе депутатов.,место|статус|служба|позиция|пост
159,substitutions,1464859474733,85_26,multiple,Основные *положения* теории относительности.,место|статус|служба|позиция|пост
160,substitutions,1464859474733,86_26,multiple,Географическое *положение* города.,место|статус|служба|позиция|пост
161,substitutions,1464859474733,87_26,multiple,Он занимал очень высокое *положение* в министерстве.,место|статус|служба|позиция|пост
162,substitutions,1464859474733,88_27,multiple,"Кондуктор, проворчав что-то, посоветовал ей отправиться в *пункт* для приёма беженцев.",место|местоположение|координаты|расположение|наименование|точка
163,substitutions,1464859474733,89_28,multiple,"Чтобы получить *площадь* трапеции, надо умножить полусумму её оснований на высоту.",пространство|поиск|место|интеграл|первообразная|поток|интегрирование|сумма
164,substitutions,1464859474733,90_28,multiple,Главный фасад Московского вокзала в Петербурге выходит на *площадь* Восстания.,пространство|поиск|место|интеграл|первообразная|поток|интегрирование|сумма
165,substitutions,1464859474733,91_29,multiple,"Кондуктор, проворчав что-то, посоветовал ей отправиться в *пункт* для приёма беженцев.",улица|база|завершение|место|конец|расположение|местечко
